mandt,spras,dimid,txdim,operation_flag,is_deleted,recordstamp
100,D,CAPACI,Elektr. Kapazität,I,False,2022-04-21 15:05:21.456865+00:00
100,D,RESIST,Elektr. Widerstand,I,False,2022-04-21 15:05:21.456865+00:00
100,E,LIGHT,Luminous intensity,I,False,2022-04-21 15:05:21.456865+00:00
100,D,VPROPO,Volumenverhältnis,I,False,2022-04-21 15:05:21.456865+00:00
100,D,HYDROL,Hydrolysegeschwind.,I,False,2022-04-21 15:05:21.456865+00:00
100,E,VISKIN,Kinematic viscosity,I,False,2022-04-21 15:05:21.456865+00:00
100,D,MAGNFD,Magnet. Flußdichte,I,False,2022-04-21 15:05:21.456865+00:00
100,E,SPHCAP,Spec. Heat Capacity,I,False,2022-04-21 15:05:21.456865+00:00
100,E,SPAEQU,Specific Equivalent,I,False,2022-04-21 15:05:21.456865+00:00
100,D,SPENER,Spezifische Energie,I,False,2022-04-21 15:05:21.456865+00:00
100,D,EVARA,Verdampfungsgeschw.,I,False,2022-04-21 15:05:21.456865+00:00
100,E,STEXKZ,Dust explosion ratio,I,False,2022-04-21 15:05:21.456865+00:00
100,E,SURINV,Inverse Surface Area,I,False,2022-04-21 15:05:21.456865+00:00
100,E,MAGNFD,Magnet. Flux Density,I,False,2022-04-21 15:05:21.456865+00:00
100,D,SURFTE,Oberflächenspannung,I,False,2022-04-21 15:05:21.456865+00:00
100,E,TKONZ,Particle concentrat.,I,False,2022-04-21 15:05:21.456865+00:00
100,E,TEMPRT,Rate of temp. change,I,False,2022-04-21 15:05:21.456865+00:00
100,E,SPREST,Sp. Elec. Resistance,I,False,2022-04-21 15:05:21.456865+00:00
100,E,SPARAD,Spec. Act. Rad. Sub.,I,False,2022-04-21 15:05:21.456865+00:00
100,D,SPARAD,Spez Akt radioak Sub,I,False,2022-04-21 15:05:21.456865+00:00
100,D,SPREST,Spez. el. Widerstand,I,False,2022-04-21 15:05:21.456865+00:00
100,D,STEXKZ,Staubexplosionskennz,I,False,2022-04-21 15:05:21.456865+00:00
100,D,TKONZ,Teilchenkonzentratio,I,False,2022-04-21 15:05:21.456865+00:00
100,E,VOLFLO,Volumetric Flow Rate,I,False,2022-04-21 15:05:21.456865+00:00
100,D,THCOND,Wärmeleitfähigkeit,I,False,2022-04-21 15:05:21.456865+00:00
100,D,VISKIN,"Zähigkeit, kinemat.",I,False,2022-04-21 15:05:21.456865+00:00
100,D,SPAEQU,Spez Äquivalentmenge,I,False,2022-04-21 15:05:21.456865+00:00
100,D,ACBAC,Säure/Basekapazität,I,False,2022-04-21 15:05:21.456865+00:00
100,D,TEMPRT,Temper.änderungsrate,I,False,2022-04-21 15:05:21.456865+00:00
100,D,VISDYN,"Zähigkeit, dynamisch",I,False,2022-04-21 15:05:21.456865+00:00
100,D,SPHCAP,Spez. Wärmekapazität,I,False,2022-04-21 15:05:21.456865+00:00
000,E,SURFAC,Area,L,False,2022-01-31 20:43:45.861987+00:00
001,E,SURFAC,Area,L,False,2022-01-31 20:43:45.861987+00:00
050,E,SURFAC,Area,L,False,2022-01-31 20:43:45.861987+00:00
100,E,SURFAC,Area,L,False,2022-01-31 20:43:45.861987+00:00
200,E,SURFAC,Area,L,False,2022-01-31 20:43:45.861987+00:00
250,E,SURFAC,Area,L,False,2022-01-31 20:43:45.861987+00:00
000,E,MASS,Mass,L,False,2022-01-31 20:43:45.861987+00:00
001,E,MASS,Mass,L,False,2022-01-31 20:43:45.861987+00:00
050,E,MASS,Mass,L,False,2022-01-31 20:43:45.861987+00:00
100,E,MASS,Mass,L,False,2022-01-31 20:43:45.861987+00:00
200,E,MASS,Mass,L,False,2022-01-31 20:43:45.861987+00:00
250,E,MASS,Mass,L,False,2022-01-31 20:43:45.861987+00:00
000,E,TIME,Time,L,False,2022-01-31 20:43:45.861987+00:00
001,E,TIME,Time,L,False,2022-01-31 20:43:45.861987+00:00
050,E,TIME,Time,L,False,2022-01-31 20:43:45.861987+00:00
100,E,TIME,Time,L,False,2022-01-31 20:43:45.861987+00:00
200,E,TIME,Time,L,False,2022-01-31 20:43:45.861987+00:00
250,E,TIME,Time,L,False,2022-01-31 20:43:45.861987+00:00
000,D,TIME,Zeit,L,False,2022-01-31 20:43:45.861987+00:00
001,D,TIME,Zeit,L,False,2022-01-31 20:43:45.861987+00:00
050,D,TIME,Zeit,L,False,2022-01-31 20:43:45.861987+00:00
100,D,TIME,Zeit,L,False,2022-01-31 20:43:45.861987+00:00
200,D,TIME,Zeit,L,False,2022-01-31 20:43:45.861987+00:00
250,D,TIME,Zeit,L,False,2022-01-31 20:43:45.861987+00:00
000,D,PRESS,Druck,L,False,2022-01-31 20:43:45.861987+00:00
001,D,PRESS,Druck,L,False,2022-01-31 20:43:45.861987+00:00
050,D,PRESS,Druck,L,False,2022-01-31 20:43:45.861987+00:00
100,D,PRESS,Druck,L,False,2022-01-31 20:43:45.861987+00:00
200,D,PRESS,Druck,L,False,2022-01-31 20:43:45.861987+00:00
250,D,PRESS,Druck,L,False,2022-01-31 20:43:45.861987+00:00
000,E,FORCE,Force,L,False,2022-01-31 20:43:45.861987+00:00
001,E,FORCE,Force,L,False,2022-01-31 20:43:45.861987+00:00
050,E,FORCE,Force,L,False,2022-01-31 20:43:45.861987+00:00
100,E,FORCE,Force,L,False,2022-01-31 20:43:45.861987+00:00
200,E,FORCE,Force,L,False,2022-01-31 20:43:45.861987+00:00
250,E,FORCE,Force,L,False,2022-01-31 20:43:45.861987+00:00
000,D,FORCE,Kraft,L,False,2022-01-31 20:43:45.861987+00:00
001,D,FORCE,Kraft,L,False,2022-01-31 20:43:45.861987+00:00
050,D,FORCE,Kraft,L,False,2022-01-31 20:43:45.861987+00:00
